"Fishing Day","Fish","Fishing Gear","Site","Species","Weight (kg)","Length (cm)","Scale taken (0=N, 1=Y)","Floy Tag . (0=N)","Recap Tag . (0=N)","Preserved for testing (0=N, 1=Y)","Mortality (0=N, 1=Y)","Genetics Testing . (0=N)","Notes"
,244.00,4.00,"1",4.00,0.09,20.00,,,,,,,
,245.00,4.00,"1",4.00,0.11,22.00,,,,,,,
,246.00,4.00,"1",5.00,0.01,13.00,,,,,,,
,247.00,4.00,"1",4.00,0.01,19.00,,,,,,,
,248.00,4.00,"1",15.00,0.20,24.00,,,,,,,
,249.00,4.00,"1",23.00,2.30,50.00,,,,,,,
,250.00,4.00,"1",5.00,0.10,18.00,,,,,,,
1.00,1.00,1.00,"2",2.00,0.19,21.00,"1",136.00,0.00,0.00,0.00,0.00,""
1.00,2.00,1.00,"2",2.00,0.16,20.00,"",137.00,0.00,0.00,0.00,0.00,""
1.00,3.00,1.00,"2",2.00,0.16,19.50,"",138.00,0.00,0.00,0.00,0.00,""
1.00,4.00,2.00,"2",4.00,0.17,18.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,5.00,2.00,"2",4.00,0.14,19.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,6.00,2.00,"2",5.00,0.11,16.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,7.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,8.00,2.00,"2",5.00,0.01,7.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,9.00,2.00,"2",8.00,0.01,7.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,10.00,2.00,"2",8.00,0.01,9.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,11.00,2.00,"2",9.00,0.01,10.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,12.00,2.00,"2",5.00,0.01,6.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,13.00,2.00,"2",5.00,0.01,6.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,14.00,2.00,"2",10.00,0.01,9.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,15.00,2.00,"2",3.00,0.01,7.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,16.00,2.00,"2",5.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,17.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,18.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,19.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,20.00,2.00,"2",5.00,0.01,6.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,21.00,2.00,"2",5.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,22.00,2.00,"2",11.00,0.01,6.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,23.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,24.00,2.00,"2",5.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,25.00,2.00,"2",5.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,26.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,27.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,28.00,2.00,"2",2.00,0.04,13.00,"",139.00,0.00,0.00,0.00,0.00,""
1.00,29.00,2.00,"2",7.00,0.01,9.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,30.00,2.00,"2",3.00,0.31,28.50,"",140.00,0.00,0.00,0.00,0.00,""
1.00,31.00,2.00,"2",4.00,0.15,19.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,32.00,2.00,"2",4.00,0.21,22.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,33.00,2.00,"2",4.00,0.14,19.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,34.00,2.00,"2",3.00,0.01,11.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,35.00,2.00,"2",12.00,0.01,11.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,36.00,2.00,"2",3.00,0.01,10.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,37.00,2.00,"2",3.00,0.01,11.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,38.00,2.00,"2",3.00,0.01,9.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,39.00,2.00,"2",5.00,0.03,12.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,40.00,2.00,"2",5.00,0.03,18.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,41.00,2.00,"2",5.00,0.07,17.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,42.00,2.00,"2",5.00,0.04,14.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,43.00,2.00,"2",4.00,0.01,6.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,44.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,45.00,2.00,"2",4.00,0.07,13.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,46.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,47.00,2.00,"2",3.00,0.01,12.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,48.00,2.00,"2",5.00,0.01,4.75,"",0.00,0.00,0.00,0.00,0.00,""
1.00,49.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,50.00,2.00,"2",2.00,0.01,10.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,51.00,2.00,"2",4.00,0.01,10.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,52.00,2.00,"2",3.00,0.01,10.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,53.00,2.00,"2",5.00,0.01,6.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,54.00,2.00,"2",3.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,55.00,2.00,"2",5.00,0.01,6.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,56.00,2.00,"2",10.00,0.01,6.30,"",0.00,0.00,0.00,0.00,0.00,""
1.00,57.00,2.00,"2",5.00,0.01,7.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,58.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,59.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,60.00,2.00,"2",5.00,0.01,10.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,61.00,2.00,"2",5.00,0.01,3.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,62.00,2.00,"2",4.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,63.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,64.00,2.00,"2",4.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,65.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,66.00,2.00,"2",5.00,0.01,4.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,67.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,68.00,2.00,"2",4.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,69.00,2.00,"2",5.00,0.01,5.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,70.00,2.00,"2",5.00,0.01,5.00,"",0.00,0.00,0.00,0.00,0.00,""
1.00,71.00,2.00,"2",5.00,0.01,3.50,"",0.00,0.00,0.00,0.00,0.00,""
1.00,72.00,2.00,"2",5.00,0.01,4.00,"",0.00,0.00,0.00,0.00,0.00,""
