Fishing Day,Fishing Gear,Number,Size (in),Site,Gear Start Time,Gear End Time,Start Day,Total Gear Effort (min),End Day,Fishing_Gear,_Site,Fishing_Day
11,3,160.0,72.0,3,1215,1400,1,26.67,1,Cast Net,North Down-Stream,2019/7/31
11,4,0.0,,3,1215,1400,1,,1,Hook and Line,North Down-Stream,2019/7/31
12,3,80.0,72.0,1,1030,1145,1,13.34,1,Cast Net,South Down-Stream,2019/8/7
12,3,80.0,72.0,1,1230,1350,1,13.34,1,Cast Net,South Down-Stream,2019/8/7
12,5,1.0,3.0,2,1000,1200,1,120.0,1,Gill net,South Up-Stream,2019/8/7
12,4,0.0,,1,1030,1145,1,,1,Hook and Line,South Down-Stream,2019/8/7
12,4,0.0,,1,1239,1350,1,,1,Hook and Line,South Down-Stream,2019/8/7
12,5,1.0,4.0,2,1000,1200,1,120.0,1,Gill net,South Up-Stream,2019/8/7
12,5,1.0,5.0,2,1000,1200,1,120.0,1,Gill net,South Up-Stream,2019/8/7
13,2,1.0,0.0,2,930,1130,1,32.75,1,Electrofishing,South Up-Stream,2019/8/14
13,4,0.0,,3,1200,1400,1,,1,Hook and Line,North Down-Stream,2019/8/14
13,3,160.0,72.0,3,1200,1400,1,26.67,1,Cast Net,North Down-Stream,2019/8/14
14,2,1.0,0.0,4,930,1145,1,28.63,1,Electrofishing,North Up-Stream,2019/8/15
14,3,160.0,72.0,1,1200,1400,1,26.67,1,Cast Net,South Down-Stream,2019/8/15
1,1,4.0,5.0,2,1600,1013,-1,1093.0,1,Hoop trap,South Up-Stream,2019/5/15
1,1,2.0,5.0,4,1600,1347,-1,1307.0,1,Hoop trap,North Up-Stream,2019/5/15
1,1,3.0,5.0,3,1600,1403,-1,1323.0,1,Hoop trap,North Down-Stream,2019/5/15
1,1,3.0,5.0,1,1600,1437,-1,1357.0,1,Hoop trap,South Down-Stream,2019/5/15
1,2,1.0,0.0,2,1030,1330,1,40.0,1,Electrofishing,South Up-Stream,2019/5/15
